restaurant_name,city,locality,cuisines,average_cost_for_two,has_table_booking,has_online_delivery,price_range,aggregate_rating,rating_text,votes
Jahanpanah,Agra,Agra Cantt,"North Indian, Mughlai",850,No,No,3,3.9,Good,140
Rangrezz Restaurant,Agra,Agra Cantt,"North Indian, Mughlai",700,No,No,2,3.5,Good,71
Time2Eat - Mama Chicken,Agra,Agra Cantt,North Indian,500,No,No,2,3.6,Good,94
Chokho Jeeman Marwari Jain Bhojanalya,Agra,Civil Lines,Rajasthani,400,No,No,2,4.0,Very Good,87
Pinch Of Spice,Agra,Civil Lines,"North Indian, Chinese, Mughlai",1000,No,No,3,4.2,Very Good,177
MoMo Cafe,Agra,"Courtyard by Marriott Agra, Tajganj","North Indian, European",2000,No,No,4,4.0,Very Good,45
Peshawri - ITC Mughal,Agra,"ITC Mughal, Tajganj","North Indian, Mughlai",2500,No,No,4,4.3,Very Good,133
Taj Bano - ITC Mughal,Agra,"ITC Mughal, Tajganj",Mughlai,2500,No,No,4,4.0,Very Good,41
G Thal,Agra,Khandari,"Rajasthani, Gujarati, Mughlai",800,No,No,3,3.6,Good,59
Dawat-e-Nawab - Radisson Blu,Agra,"Radisson Blu, Tajganj","North Indian, Mughlai",3600,No,No,4,3.8,Good,46
The Latitude - Radisson Blu,Agra,"Radisson Blu, Tajganj","North Indian, Chinese, Continental",0,No,No,1,3.9,Good,103
Dasaprakash Restaurant,Agra,Rakabganj,"South Indian, Desserts",550,No,No,2,4.1,Very Good,121
The Charcoal Chimney,Agra,Tajganj,"North Indian, Chinese, Continental, Mughlai",1100,No,No,3,3.4,Average,70
Sheroes Hangout,Agra,Tajganj,"Cafe, North Indian, Chinese",0,No,No,1,4.9,Excellent,77
Bon Barbecue,Agra,Tajganj,"North Indian, Chinese, Continental",1500,No,No,4,3.8,Good,57
Chapter 1 Cafe,Agra,Tajganj,"Cafe, Italian, Mexican, North Indian, Continental",0,No,No,1,3.9,Good,98
Pind Balluchi,Agra,Tajganj,"North Indian, Mughlai",900,No,No,3,3.7,Good,175
Pizza Hut,Agra,Tajganj,"Italian, Pizza",700,No,No,2,4.4,Very Good,134
Tea'se Me - Rooftop Tea Boutique,Agra,Tajganj,"Chinese, Italian, Continental, North Indian",1000,No,No,3,4.2,Very Good,166
Thaaliwala,Agra,Tajganj,"North Indian, Fast Food",700,No,No,2,4.1,Very Good,168
650 - The Global Kitchen,Ahmedabad,Ambavadi,"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",900,No,No,3,4.2,Very Good,1582
Patang - The Revolving Restaurant,Ahmedabad,Ashram Road,"Continental, Chinese, North Indian",1800,No,No,4,3.7,Good,1315
Huber & Holly,Ahmedabad,Bodakdev,"Ice Cream, Desserts, Continental",300,No,Yes,1,4.5,Excellent,217
@Mango,Ahmedabad,Bodakdev,"North Indian, Continental, Mexican, Italian",800,No,No,3,4.1,Very Good,769
Fozzie's Pizzaiolo,Ahmedabad,Bodakdev,"Pizza, Italian, Beverages, Desserts",900,No,Yes,3,4.3,Very Good,731
La Pino'z Pizza,Ahmedabad,Bodakdev,"Pizza, Italian",500,No,Yes,2,4.4,Very Good,113
Mocha,Ahmedabad,Bodakdev,"Cafe, Continental, Desserts",1000,No,Yes,3,4.4,Very Good,944
Blue -  Rooftop Cafe Restaurant Bistro,Ahmedabad,C G Road,"North Indian, Cafe, Italian, Mexican, Continental",1000,No,Yes,3,3.8,Good,63
MoMo Cafí© - Courtyard By Marriott,Ahmedabad,"Courtyard By Marriott, Satellite","North Indian, South Indian, Asian, Continental",1400,No,No,3,3.6,Good,375
Cryo Lab,Ahmedabad,Ellis Bridge,"Desserts, Ice Cream",350,No,No,2,4.6,Excellent,166
Swati Snacks,Ahmedabad,Ellis Bridge,"Fast Food, Street Food, South Indian",450,No,No,2,4.4,Very Good,697
Brick Kitchen,Ahmedabad,Ghatlodia,"North Indian, Chinese, Continental",900,No,No,3,4.3,Very Good,325
Kabir Restaurant,Ahmedabad,Gurukul,"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",600,No,Yes,2,3.8,Good,432
Puffizza,Ahmedabad,Gurukul,"Italian, Fast Food",700,No,Yes,2,4.3,Very Good,744
Cafe Alfresco,Ahmedabad,Navrangpura,"Cafe, Beverages, Desserts, Pizza",700,No,Yes,2,4.0,Very Good,404
The Cafe Baraco,Ahmedabad,Navrangpura,"Cafe, Italian",600,No,Yes,2,4.4,Very Good,317
Nini's Kitchen,Ahmedabad,Prahlad Nagar,"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",950,No,Yes,3,4.5,Excellent,1138
Yanki Sizzlers,Ahmedabad,Thaltej,"Continental, Italian, Chinese",1200,No,No,3,4.1,Very Good,1041
The Garden Cafe - The Fern,Ahmedabad,"The Fern, Sola","North Indian, Italian, Asian, South Indian",1200,No,No,3,4.1,Very Good,192
Mazzo,Ahmedabad,Vastrapur,"Cafe, American, Continental, Armenian, Fast Food",550,No,Yes,2,3.9,Good,166
Turquoise Villa,Ahmedabad,Vastrapur,Continental,1200,No,No,3,4.0,Very Good,535
Aryan Family's Delight,Allahabad,Civil Lines,"North Indian, South Indian, Fast Food",500,No,No,3,3.4,Average,57
Bean Here,Allahabad,Civil Lines,"Cafe, Fast Food",350,No,No,2,3.3,Average,76
Bikanerwala,Allahabad,Civil Lines,"North Indian, Street Food, Fast Food",500,No,No,3,3.2,Average,51
Dewsis,Allahabad,Civil Lines,"North Indian, Chinese",600,No,No,3,3.4,Average,99
Friends Forever,Allahabad,Civil Lines,"North Indian, Chinese",600,No,No,3,3.4,Average,83
Hotel Ravisha Continental,Allahabad,Civil Lines,"North Indian, South Indian, Chinese",600,No,No,3,3.4,Average,18
KFC,Allahabad,Civil Lines,"American, Fast Food",500,No,No,3,3.4,Average,58
McDonald's,Allahabad,Civil Lines,Fast Food,400,No,No,2,3.3,Average,53
Pind Balluchi,Allahabad,Civil Lines,"North Indian, Mughlai",800,No,No,3,3.2,Average,6
Pizza Hut,Allahabad,Civil Lines,"Italian, Pizza",700,No,No,3,3.4,Average,35
Subway,Allahabad,Civil Lines,"Fast Food, American, Salad, Healthy Food",400,No,No,2,3.4,Average,32
Tandoor Restaurant,Allahabad,Civil Lines,"North Indian, Chinese",500,No,No,3,3.2,Average,151
The BrewMaster,Allahabad,Civil Lines,"North Indian, Chinese, Italian",0,No,No,1,3.3,Average,49
The Tamarind Tree,Allahabad,Civil Lines,"South Indian, Chinese",500,No,No,3,3.4,Average,106
Cafe El Chico,Allahabad,Civil Lines,"Continental, Italian",1000,No,No,4,3.6,Good,59
Eat On,Allahabad,Civil Lines,North Indian,200,No,No,1,3.7,Good,105
Hot Stuff,Allahabad,Civil Lines,"North Indian, Fast Food",500,No,No,3,3.5,Good,105
Paradise,Allahabad,Civil Lines,"Desserts, Fast Food",500,No,No,3,3.6,Good,57
Sagar Ratna,Allahabad,Tagore Town,"South Indian, North Indian, Chinese, Continental",400,No,No,2,3.5,Good,134
Moti Mahal Delux,Allahabad,"Vinayak City Centre Mall, Civil Lines","Mughlai, North Indian, Chinese",800,No,No,3,3.3,Average,58
Makhan Fish and Chicken Corner,Amritsar,Basant Nagar,"North Indian, Chinese",700,No,No,2,3.4,Average,345
Charming Chicken,Amritsar,Basant Nagar,North Indian,300,No,No,1,3.9,Good,151
Ahuja Milk Bhandar,Amritsar,Hathi Gate,Beverages,100,No,No,1,4.0,Very Good,52
Crystal Restaurant,Amritsar,INA Colony,"North Indian, Mughlai",800,No,No,3,3.4,Average,122
Brijwasi Chat Bhandar,Amritsar,INA Colony,Street Food,150,No,No,1,3.6,Good,56
Bubby Fish & Chicken Corner,Amritsar,INA Colony,North Indian,300,No,No,1,3.5,Good,91
Bon Gateau,Amritsar,Ranjit Avenue,"Cafe, Bakery, Fast Food",500,No,No,2,3.4,Average,26
The Yellow Chilli,Amritsar,Ranjit Avenue,"North Indian, Mughlai, Chinese",1200,No,No,3,3.4,Average,98
La Roma Pizzeria,Amritsar,Ranjit Avenue,"Fast Food, Italian",400,No,No,2,3.5,Good,111
Sakhis Watz Kukin,Amritsar,Ranjit Avenue,"North Indian, Chinese",700,No,No,2,3.6,Good,51
The Kulcha Land,Amritsar,Ranjit Avenue,"North Indian, Street Food",200,No,No,1,3.9,Good,206
Shudh Restaurant,Amritsar,Town Hall,"North Indian, South Indian, Chinese, Fast Food",600,No,No,2,3.4,Average,44
Bade Bhai Ka Brothers' Dhaba,Amritsar,Town Hall,"North Indian, Fast Food",500,No,No,2,3.7,Good,94
Bharawan Da Dhaba,Amritsar,Town Hall,"North Indian, Fast Food",500,No,No,2,3.5,Good,461
Brothers Dhaba,Amritsar,Town Hall,North Indian,500,No,No,2,3.8,Good,276
Brothers' Amritsari Dhaba,Amritsar,Town Hall,North Indian,400,No,No,2,3.8,Good,71
Gurdas Ram Jalebi Wala,Amritsar,Town Hall,Mithai,100,No,No,1,4.1,Very Good,104
Kesar Da Dhabha,Amritsar,Town Hall,North Indian,500,No,No,2,4.1,Very Good,878
Beera Chicken Corner,Amritsar,White Avenue,North Indian,500,No,No,2,3.8,Good,192
Surjit Food Plaza,Amritsar,White Avenue,North Indian,1000,No,No,3,3.5,Good,96
Kanha Sweets,Amritsar,White Avenue,Fast Food,150,No,No,1,4.1,Very Good,140
Kream N Krunch,Aurangabad,Akashwani,"North Indian, Chinese, Continental, Italian",800,No,No,3,3.6,Good,240
Balbeer's Kitchen & Bar,Aurangabad,Chicalthana,"Italian, Continental, Chinese, North Indian",850,No,No,3,3.3,Average,65
Angeethi Restaurant,Aurangabad,CIDCO,"North Indian, Chinese",600,No,No,2,3.3,Average,63
Domino's Pizza,Aurangabad,CIDCO,Pizza,700,No,No,2,3.1,Average,19
Hotel Laadli,Aurangabad,CIDCO,"North Indian, South Indian",350,No,No,2,3.4,Average,46
Indiana Veg Restaurant,Aurangabad,CIDCO,"South Indian, North Indian, Chinese, Fast Food",450,No,No,2,3.4,Average,75
Madhuban Restaurant - Welcome Hotel Rama International,Aurangabad,CIDCO,"North Indian, Chinese, Continental, Italian, Mexican",1800,No,No,4,3.4,Average,94
Mauj Restaurant,Aurangabad,CIDCO,"Italian, Fast Food, North Indian, Chinese",500,No,No,2,3.3,Average,47
Naivedya,Aurangabad,CIDCO,North Indian,500,No,No,2,3.4,Average,71
d' Curry House,Aurangabad,"Hotel Green Olive, Nirala Bazar","Continental, Chinese, Biryani, North Indian",1000,No,No,3,3.6,Good,73
Mokoholic Juice Bar,Aurangabad,Mondha,"Juices, Desserts",300,No,No,1,3.5,Good,21
Ashoka's Veg Restaurant,Aurangabad,Nirala Bazar,"South Indian, Chinese, North Indian",400,No,No,2,3.3,Average,46
Kareem's Fine Dining,Aurangabad,Nirala Bazar,"Mughlai, Biryani",700,No,No,2,3.3,Average,45
That Baat,Aurangabad,Nirala Bazar,Maharashtrian,450,No,No,2,3.4,Average,34
Bhoj Restaurant,Aurangabad,Nirala Bazar,North Indian,450,No,No,2,3.7,Good,89
Downside Up,Aurangabad,Nyay Nagar,"Cafe, Mughlai, North Indian",400,No,No,2,3.2,Average,8
Kareem's Kabab & Biryani,Aurangabad,"Prozone Mall, Chicalthana",Mughlai,650,No,No,2,3.4,Average,39
Great Sagar Restaurant,Aurangabad,Shahgunj,"North Indian, Mughlai",600,No,No,2,3.3,Average,74
Kailash Restaurant,Aurangabad,Usmanpura,"North Indian, Chinese, South Indian, Fast Food",450,No,No,2,3.3,Average,76
Yalla Yalla,Aurangabad,Usmanpura,"North Indian, Hyderabadi",500,No,No,2,3.3,Average,71
Sultans of Spice,Bangalore,"BluPetal Hotel, Koramangala","North Indian, Mughlai",1300,Yes,Yes,3,4.1,Very Good,2416
The Fatty Bao - Asian Gastro Bar,Bangalore,Indiranagar,Asian,2400,Yes,Yes,4,4.7,Excellent,2369
Toit,Bangalore,Indiranagar,"Italian, American, Pizza",2000,No,No,4,4.8,Excellent,10934
Three Dots & A Dash,Bangalore,Indiranagar,"European, Continental",1300,Yes,No,3,3.9,Good,1354
Bombay Brasserie,Bangalore,Indiranagar,Modern Indian,1500,No,Yes,3,4.2,Very Good,231
Glen's Bakehouse,Bangalore,Indiranagar,"Bakery, Desserts, Cafe",800,No,No,2,4.0,Very Good,3533
Onesta,Bangalore,Indiranagar,"Pizza, Cafe, Italian",600,No,Yes,2,4.3,Very Good,1413
ECHOES Koramangala,Bangalore,Koramangala 5th Block,"Continental, American, Italian, North Indian, Chinese, Cafe",950,No,No,2,4.7,Excellent,276
Truffles,Bangalore,Koramangala 5th Block,"American, Burger, Cafe",800,No,Yes,2,4.7,Excellent,9667
The Black Pearl,Bangalore,Koramangala 5th Block,"North Indian, European, Mediterranean",1400,Yes,No,3,4.1,Very Good,5385
Eat Street,Bangalore,Koramangala 6th Block,"North Indian, Chinese, Italian, Street Food, Desserts",400,No,Yes,1,4.3,Very Good,753
Koramangala Social,Bangalore,Koramangala 7th Block,"Continental, American",1500,No,No,3,4.5,Excellent,1288
AB's - Absolute Barbecues,Bangalore,Marathahalli,"European, Mediterranean, North Indian",1400,No,No,3,4.6,Excellent,6907
Flechazo,Bangalore,Marathahalli,"Asian, Mediterranean, North Indian",1200,Yes,No,3,4.4,Very Good,983
Communiti,Bangalore,Residency Road,Continental,1200,No,No,3,4.2,Very Good,334
Big Brewsky,Bangalore,Sarjapur Road,"Finger Food, North Indian, Italian, Continental, Thai, South Indian",1800,Yes,Yes,3,4.5,Excellent,5705
Hoot,Bangalore,Sarjapur Road,"Continental, Italian, North Indian",1400,No,No,3,3.9,Good,405
Farzi Cafe,Bangalore,UB City,Modern Indian,1500,No,No,3,4.4,Very Good,754
Black N White Cafe,Bhopal,Arera Colony,"Cafe, Chinese, North Indian",200,No,No,1,3.3,Average,51
Maybe There,Bhopal,Arera Colony,Cafe,600,No,No,2,3.4,Average,63
Sagar Gaire Fast Food,Bhopal,Arera Colony,Fast Food,250,No,No,1,4.9,Excellent,427
The Kasbah,Bhopal,Arera Colony,"North Indian, Chinese",700,No,No,2,3.9,Good,126
Bake N Shake,Bhopal,Arera Colony,Fast Food,500,No,No,2,4.2,Very Good,223
10 Downing Street,Bhopal,"DB City, Maharana Pratap Nagar","North Indian, Chinese",1000,No,No,3,4.0,Very Good,257
Chi Kitchen,Bhopal,"DB City, Maharana Pratap Nagar",Chinese,1000,No,No,3,4.0,Very Good,103
Pizza Hut,Bhopal,"DB City, Maharana Pratap Nagar",Pizza,650,No,No,2,4.1,Very Good,118
Kafe Kulture,Bhopal,Gulmohar Colony,"Cafe, Fast Food",600,No,No,2,3.8,Good,98
Violet Hour,Bhopal,Kohefiza,Bakery,500,No,No,2,3.8,Good,33
Bapu Ki Kutia,Bhopal,Maharana Pratap Nagar,"North Indian, Chinese, South Indian, Fast Food",550,No,No,2,3.5,Good,175
Da pizzeria,Bhopal,Maharana Pratap Nagar,"Pizza, Italian, Fast Food",500,No,No,2,3.6,Good,111
Papa Mexicano,Bhopal,Maharana Pratap Nagar,"Fast Food, Mexican, Tex-Mex",350,No,No,2,3.6,Good,20
Manohar Dairy And Restaurant,Bhopal,Maharana Pratap Nagar,"North Indian, South Indian, Street Food, Bakery",400,No,No,2,4.4,Very Good,243
Kebabsville - Sayaji Hotel,Bhopal,Sayaji Hotel,North Indian,1800,No,No,4,4.3,Very Good,128
Indian Coffee House,Bhopal,TT Nagar,South Indian,500,No,No,2,3.9,Good,161
The Urban Socialite,Bhopal,TT Nagar,"Italian, Mexican, Chinese",900,No,No,3,3.8,Good,79
Tyre Patty,Bhubaneshwar,"BMC Bhawani Mall, Sahid Nagar",Cafe,500,No,No,2,3.9,Good,289
Silver Streak,Bhubaneshwar,"BMC Bhawani Mall, Sahid Nagar",Chinese,550,No,No,2,4.1,Very Good,379
Barbeque Nation,Bhubaneshwar,Chandrasekharpur,"Mediterranean, Asian, Continental, North Indian, Arabian",1200,No,No,3,4.6,Excellent,154
Central Perk 7,Bhubaneshwar,Chandrasekharpur,"Cafe, Charcoal Grill, Steak",600,No,No,2,4.5,Excellent,145
The Chicken Dinesty,Bhubaneshwar,Chandrasekharpur,"Fast Food, North Indian, Chinese",500,No,No,2,3.9,Good,247
Taste Of China,Bhubaneshwar,Chandrasekharpur,Chinese,500,No,No,2,4.0,Very Good,145
Michael's Kitchen,Bhubaneshwar,Gajapati Nagar,"North Indian, Asian, European",850,No,No,2,3.7,Good,118
Mamma Mia - Mayfair Lagoon,Bhubaneshwar,"Mayfair Lagoon, Jayadev Vihar","Cafe, Italian, Mexican, Bakery",1400,No,No,3,4.1,Very Good,256
99 North Restaurant,Bhubaneshwar,Patia,"North Indian, Chinese",450,No,No,1,3.6,Good,173
Adda,Bhubaneshwar,Patia,"North Indian, Chinese, Mexican, Beverages",600,No,No,2,3.8,Good,424
Chill Ummm,Bhubaneshwar,Patia,"Chinese, North Indian, Cafe",450,No,No,1,3.7,Good,338
Lal Qila,Bhubaneshwar,Patia,"Mughlai, Chinese, North Indian",500,No,No,2,3.7,Good,228
Richard's Kitchen & Coffee Bar,Bhubaneshwar,Patia,"Cafe, Chinese, Fast Food, Seafood",450,No,No,1,3.8,Good,253
Aangan Horizon,Bhubaneshwar,Patia,"North Indian, Chinese, Continental",900,No,No,2,4.0,Very Good,90
Brewberrys The Coffee Bar,Bhubaneshwar,Patia,Cafe,400,No,No,1,4.0,Very Good,197
Chai Break,Bhubaneshwar,Patia,"Italian, Cafe, Chinese, Continental",800,No,No,2,4.3,Very Good,69
JUGAAD JN.,Bhubaneshwar,Patia,"North Indian, Rajasthani",300,No,No,1,4.1,Very Good,199
Cha cTea,Bhubaneshwar,Sahid Nagar,"Cafe, Tea",500,No,No,2,3.8,Good,56
Food Fever,Bhubaneshwar,Sahid Nagar,"Chinese, North Indian",900,No,No,2,4.2,Very Good,49
Mainland China,Bhubaneshwar,"The Crown, Nayapalli",Chinese,1500,No,No,3,4.3,Very Good,345
Eram Rooftop,Bhubaneshwar,Unit 4,"Asian, Continental",400,No,No,1,3.5,Good,89
The Night Factory,Chandigarh,Chandigarh Industrial Area,"North Indian, Chinese, Continental, Pizza",850,No,Yes,2,3.7,Good,665
Brooklyn Central,Chandigarh,"Elante Mall, Chandigarh Industrial Area","American, Cafe",1600,No,No,3,4.2,Very Good,676
Chili's,Chandigarh,"Elante Mall, Chandigarh Industrial Area","Mexican, American, Italian",1400,No,Yes,3,4.3,Very Good,970
Kylin Experience,Chandigarh,"Elante Mall, Chandigarh Industrial Area","Japanese, Chinese, Thai, Malaysian, Burmese, Asian",1600,No,No,3,4.1,Very Good,300
Mocha,Chandigarh,"Elante Mall, Chandigarh Industrial Area","Continental, Italian, Thai, Finger Food",1400,No,No,3,4.0,Very Good,428
Pirates of Grill,Chandigarh,"Elante Mall, Chandigarh Industrial Area","North Indian, Continental, Asian",1200,No,No,3,4.0,Very Good,1022
Barbeque Nation,Chandigarh,Sector 26,"North Indian, Chinese",1300,No,No,3,4.5,Excellent,1450
TGI Friday's,Chandigarh,Sector 26,"American, Tex-Mex",1800,No,No,3,4.3,Very Good,228
Pal Dhaba,Chandigarh,Sector 28,North Indian,700,No,No,2,3.8,Good,982
Midnight Chef,Chandigarh,Sector 35,"North Indian, Chinese, Continental, Italian, Burger",1000,No,Yes,3,3.4,Average,502
Nik Baker's,Chandigarh,Sector 35,"Bakery, Desserts, Cafe",650,No,No,2,4.1,Very Good,698
OvenFresh,Chandigarh,Sector 35,"Cafe, Bakery",650,No,No,2,4.1,Very Good,397
Super Donuts,Chandigarh,Sector 35,"Burger, Fast Food, Desserts, Beverages",450,No,Yes,1,4.0,Very Good,265
Taco Bell,Chandigarh,Sector 35,"Mexican, Fast Food",600,No,Yes,2,4.2,Very Good,252
Karim's,Chandigarh,Sector 7,"Mughlai, North Indian",800,No,No,2,3.3,Average,86
Virgin Courtyard,Chandigarh,Sector 7,Italian,2200,No,No,4,4.4,Very Good,817
Burgrill,Chandigarh,Sector 8,"Burger, Fast Food",500,No,Yes,2,4.5,Excellent,249
Uncle Jack's,Chandigarh,Sector 8,"Desserts, American",600,No,No,2,4.0,Very Good,356
That Madras Place,Chennai,Adyar,"European, Italian, Desserts",800,Yes,Yes,2,4.2,Very Good,1810
Haunted,Chennai,Anna Nagar East,"North Indian, Chinese, Arabian",800,Yes,Yes,2,3.8,Good,519
Pantry d'or,Chennai,Anna Nagar East,"Continental, Cafe, Italian, Desserts",750,Yes,Yes,2,4.4,Very Good,1504
Palmshore,Chennai,Ashok Nagar,"North Indian, Mughlai, Chinese, South Indian",850,Yes,Yes,2,4.2,Very Good,841
Chili's,Chennai,"Express Avenue Mall,  Royapettah","Mexican, American, Tex-Mex, Burger",1700,Yes,Yes,3,4.8,Excellent,1262
Writer's Cafe,Chennai,Gopalapuram,"Cafe, European",450,No,Yes,1,4.2,Very Good,191
Fusilli Reasons,Chennai,Kilpauk,Italian,350,No,No,1,4.6,Excellent,1510
Ciclo Cafe,Chennai,Kotturpuram,"Cafe, Continental",1100,No,No,3,4.1,Very Good,1004
Kaidi Kitchen,Chennai,Mylapore,"Italian, Mexican, Chinese, Thai, North Indian",1500,Yes,Yes,3,4.0,Very Good,1820
Bombay Brasserie,Chennai,Nungambakkam,North Indian,1200,Yes,Yes,3,4.6,Excellent,1753
Maplai,Chennai,Nungambakkam,"South Indian, Chettinad",1000,Yes,No,3,4.2,Very Good,1714
Paradise,Chennai,Perungudi,"Biryani, North Indian",900,No,Yes,2,3.8,Good,1317
L'amandier,Chennai,RA Puram,"European, Cafe, Italian",1200,Yes,Yes,3,4.3,Very Good,1607
Basil With A Twist,Chennai,T. Nagar,"Continental, Cafe, Spanish, Italian, European, Greek, Mediterranean",1500,Yes,Yes,3,4.5,Excellent,1210
Barbeque Nation,Chennai,T. Nagar,"North Indian, Continental",2000,No,No,4,4.4,Very Good,3848
AB's - Absolute Barbecues,Chennai,Velachery,"North Indian, European, Mediterranean",1600,No,No,3,4.9,Excellent,859
Coal Barbecues,Chennai,Velachery,"North Indian, Mediterranean, Asian, Arabian",1400,No,No,3,4.6,Excellent,1267
Pind,Chennai,Velachery,"North Indian, Chinese",900,Yes,No,2,4.0,Very Good,2272
Kuchi n Kream,Coimbatore,Gandhipuram,"Cafe, Continental, Fast Food",800,No,Yes,3,4.6,Excellent,202
Haribhavanam Hotel,Coimbatore,Peelamedu,"South Indian, Chettinad, North Indian",600,No,No,2,3.9,Good,318
Kites Cafe,Coimbatore,Peelamedu,Cafe,400,No,Yes,2,3.8,Good,124
Zucca Pizzeria,Coimbatore,Peelamedu,Pizza,600,No,Yes,2,3.5,Good,274
Burger Ka Baap,Coimbatore,Peelamedu,Fast Food,500,No,No,2,4.3,Very Good,147
The Cascade Restaurant,Coimbatore,Peelamedu,Chinese,1200,No,Yes,3,4.1,Very Good,243
24 Plus Cafe & Restaurant,Coimbatore,Podanur,"Continental, Fast Food, Desserts, Indian",450,No,No,2,3.8,Good,24
Valarmathi Kongunaatu Samayal,Coimbatore,Race Course,"South Indian, Biryani",350,No,No,2,4.5,Excellent,380
Bird On Tree,Coimbatore,Race Course,"Continental, Chinese, Thai, Malaysian, North Indian",1200,No,No,3,3.8,Good,221
Tim's Bistro,Coimbatore,Race Course,"North Indian, Continental",700,No,Yes,2,3.9,Good,85
Batlivala & Khanabhoy,Coimbatore,Race Course,"Parsi, North Indian",1200,No,No,3,4.2,Very Good,40
Cafe Totaram,Coimbatore,Race Course,"Cafe, Fast Food",600,No,Yes,2,4.0,Very Good,132
Cream Centre,Coimbatore,Race Course,"North Indian, Chinese, Italian, Mexican",1000,No,No,3,4.0,Very Good,203
On The Go,Coimbatore,Race Course,"Italian, North Indian, Desserts",1500,No,No,4,4.0,Very Good,215
Sree Annapoorna,Coimbatore,RS Puram,"South Indian, North Indian, Chinese",400,No,No,2,4.3,Very Good,225
That's Y Food,Coimbatore,RS Puram,"North Indian, Biryani",1400,No,No,3,4.2,Very Good,299
CakeBee,Coimbatore,Saibaba Colony,"Bakery, Desserts",350,No,Yes,2,4.9,Excellent,200
Yari,Coimbatore,Saibaba Colony,"North Indian, Chinese, Street Food",700,No,No,2,4.2,Very Good,221
Cream Stone,Coimbatore,"SMS Hotel, Peelamedu","Desserts, Ice Cream",300,No,No,1,4.3,Very Good,161
Barbeque Nation,Coimbatore,Town Hall,"North Indian, European, Mediterranean",1400,No,No,3,4.4,Very Good,505
The Punjabi Essence Restaurant,Dehradun,Chukkuwala,"North Indian, Chinese",800,No,No,3,3.6,Good,102
Tirupati Restaurant,Dehradun,Chukkuwala,"South Indian, North Indian, Chinese",500,No,No,3,3.8,Good,115
Anandam,Dehradun,Hathibarkala Salwala,"Desserts, North Indian, Chinese, South Indian, Fast Food, Street Food",650,No,No,3,3.9,Good,141
Town Table Restaurant,Dehradun,Hathibarkala Salwala,"North Indian, Chinese, Continental",1000,No,No,4,3.9,Good,173
Kalsang Friends Corner,Dehradun,Hathibarkala Salwala,"Chinese, Thai, Tibetan",750,No,No,3,4.2,Very Good,406
The Great Indian Pub,Dehradun,Jakhan,North Indian,1500,No,No,4,4.9,Excellent,50
BMG - All Day Dining,Dehradun,Jakhan,"Chinese, North Indian, Fast Food",0,No,No,1,4.3,Very Good,63
Punjab Grill,Dehradun,Jakhan,"Mughlai, North Indian",1250,No,No,4,4.0,Very Good,98
TBistro,Dehradun,Karanpur,"North Indian, Chinese",550,No,No,3,3.8,Good,230
Y Cafe & Restaurant,Dehradun,Karanpur,Cafe,500,No,No,3,4.0,Very Good,94
Eddie's Patisserie,Dehradun,Krishna Nagar,Bakery,350,No,No,2,4.1,Very Good,64
First Gear Cafe,Dehradun,Malsi,"Cafe, Chinese",700,No,No,3,3.9,Good,131
Dunkin Donuts,Dehradun,"Pacific Mall, Jakhan","Burger, Desserts",600,No,No,3,3.9,Good,101
Doon Darbar,Dehradun,Paltan Bazaar,"North Indian, Mughlai",600,No,No,3,3.9,Good,121
Razzmatazz,Dehradun,Race Course,Cafe,400,No,No,2,3.9,Good,39
Barbeque Nation,Dehradun,Rajpur,"North Indian, Mediterranean, Asian, Chinese",1600,No,No,4,4.4,Very Good,66
Black Pepper Restaurant,Dehradun,Rajpur,"North Indian, Chinese",1200,No,No,4,4.0,Very Good,175
Cafe Marigold,Dehradun,Rajpur,"Cafe, Chinese, Fast Food",500,No,No,3,4.1,Very Good,104
Jalapenos,Dehradun,Rajpur,"Cafe, Mexican",500,No,No,3,4.2,Very Good,68
Kalsang AMA Cafe,Dehradun,Rajpur,Cafe,600,No,No,3,4.2,Very Good,89
Desire Foods,Faridabad,Badarpur Border,"Chinese, Fast Food, Bakery",250,No,No,1,2.9,Average,4
Knight Rock,Faridabad,Badarpur Border,"North Indian, Chinese",500,No,No,2,2.8,Average,16
Punjab Restaurant,Faridabad,Badarpur Border,North Indian,150,No,No,1,2.8,Average,8
Raju Dhaba,Faridabad,Badarpur Border,North Indian,150,No,No,1,2.9,Average,8
Rakheja Bakery,Faridabad,Badarpur Border,Bakery,100,No,No,1,2.8,Average,7
Snax Points,Faridabad,Badarpur Border,"Chinese, North Indian, Fast Food",300,No,No,1,3.0,Average,4
Cafe And More,Faridabad,Charmwood Village,"Fast Food, North Indian",300,No,No,1,2.9,Average,4
Green Chick Chop,Faridabad,Charmwood Village,"Raw Meats, North Indian, Fast Food",350,No,No,1,3.0,Average,7
Kolkata Hot Kathi Rolls,Faridabad,Charmwood Village,"Fast Food, Chinese",300,No,No,1,2.9,Average,11
Kebab Xpress,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad","North Indian, Mughlai",600,No,Yes,2,2.8,Average,49
McDonald's,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad","Fast Food, Burger",500,No,No,2,3.4,Average,58
